keywords,answer
เมาส์ mouse,เรามีทั้งแบบ Wired และ Wireless รุ่นยอดฮิตคือ Logitech G Pro X และ Razer DeathAdder ครับ
คีย์บอร์ด keyboard,มีทั้ง Full-size TKL และ 60% แนะนำ Keychron สำหรับสายทำงานและเล่นเกมครับ
หูฟัง headset,แนะนำ HyperX Cloud II หรือ SteelSeries Arctis Nova เพื่อมิติเสียงที่แม่นยำครับ
แผ่นรองเมาส์ mousepad,มีทั้งแบบ Speed และ Control ขนาด XXL ก็มีนะครับ
จอ monitor,มีตั้งแต่ 144Hz ถึง 360Hz แนะนำ Zowie สำหรับสาย FPS โดยเฉพาะครับ
เก้าอี้ chair,แนะนำ Anda Seat หรือ Secretlab นั่งสบายไม่ปวดหลังแน่นอนครับ
ไมโครโฟน mic,สำหรับแคสเกมแนะนำ Razer Seiren หรือ HyperX QuadCast เสียงชัดแน่นอน
จอย controller,มีทั้ง DualSense (PS5) และ Xbox Controller เชื่อมต่อ PC ได้ทันทีครับ
โต๊ะ desk,มีโต๊ะปรับระดับไฟฟ้า แข็งแรง รองรับน้ำหนักจอได้หลายจอครับ
กล้อง webcam,แนะนำ Logitech C922 รองรับ 1080p เหมาะสำหรับการสตรีมครับ
ประกัน warranty,สินค้าส่วนใหญ่มีประกันศูนย์ไทย 2 ปีเต็ม (เก็บกล่องไว้ด้วยนะ!)
เปลี่ยนสินค้า return,หากพบปัญหาภายใน 7 วัน สามารถเปลี่ยนตัวใหม่ได้ทันทีครับ
จ่ายเงิน payment,รับโอนเงิน บัตรเครดิต และมีบริการเก็บเงินปลายทาง (COD) ครับ
ผ่อน installment,ผ่อน 0% นานสูงสุด 10 เดือนผ่านบัตรเครดิตที่ร่วมรายการครับ
ส่ง delivery,ส่งด่วน Kerry/Flash 1-2 วัน หรือส่งแมสเซนเจอร์ใน กทม. ภายใน 3 ชม.
ที่ตั้ง location,ร้านอยู่แถวพระราม 9 เปิดทุกวัน 10:00 - 21:00 น. ครับ
สมาชิก member,ซื้อครบ 1000 บาท สมัครสมาชิกฟรีเพื่อสะสมแต้มใช้เป็นส่วนลดครับ
เช็คสถานะ status,สามารถนำเลข Order เช็คในเว็บ หรือสอบถามแอดมินโดยตรงได้เลย
จัดสเปค pc set,เรามีบริการจัดสเปคคอมตามงบประมาณ ทักแชทคุยกับช่างได้ครับ
โปรโมชั่น promotion,กดติดตามเพจ Facebook เพื่อรับโค้ดส่วนลดพิเศษทุกเดือนครับ